TIMESTAMP,RECORD,BattV_Min,AirTC_Avg,RH,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,WS_ms_Avg,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,BP_mbar_Avg,SWin_Avg,SWout_Avg,LWin_Avg,LWout_Avg,SWnet_Avg,LWnet_Avg,SWalbedo_Avg,NR_Avg,VWC_5cm_Avg,Ka_5cm_Avg,T_5cm_Avg,BulkEC_5cm_Avg,VWC_10cm_Avg,Ka_10cm_Avg,T_10cm_Avg,BulkEC_10cm_Avg,VWC_20cm_Avg,Ka_20cm_Avg,T_20cm_Avg,BulkEC_20cm_Avg,VWC_30cm_Avg,Ka_30cm_Avg,T_30cm_Avg,BulkEC_30cm_Avg,VWC_40cm_Avg,Ka_40cm_Avg,T_40cm_Avg,BulkEC_40cm_Avg,VWC_50cm_Avg,Ka_50cm_Avg,T_50cm_Avg,BulkEC_50cm_Avg,DTC_Avg_1_,DTC_Avg_2_,DTC_Avg_3_,DTC_Avg_4_,DTC_Avg_5_,DTC_Avg_6_
2021-01-13 00:00:00,3.5,13.0475,-3.29425,75.405,1.764125,188.625,1.753375,0.689,2.5475,214.875,2.5475,222.6125,50.93125,618.01387875,3.895375,2.83975,283.75,295.0875,1.054,-11.50175,0.16225,-10.448125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-14 00:00:00,19.5,13.3975,-12.5908333333333,63.9029166666667,1.8295,185.475,1.78658333333333,0.685541666666667,2.478375,207.323333333333,2.478375,243.595833333333,53.0279166666667,704.108983333333,60.1559166666667,39.9301666666667,200.391666666667,253.325,19.9530833333333,-51.9579166666667,0.254916666666667,-32.0080833333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-15 00:00:00,25.875,13.31375,-8.49058333333333,50.62625,1.82166666666667,181.041666666667,1.79308333333333,0.681,2.35983333333333,213.674166666667,2.35983333333333,216.729166666667,46.1220833333333,678.922435833333,63.7695833333333,43.0896666666667,185.729166666667,259.783333333333,20.709,-73.2816666666667,0.36925,-52.5763333333333,0,1.11,-4.189,0,0,1.43155555555556,-3.33388888888889,0,0.000111111111111111,2.21444444444444,-1.38211111111111,0,0,1.36244444444444,-0.309333333333333,0,0,1.40866666666667,0.0195555555555556,0,0,1.78066666666667,0.087,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-16 00:00:00,20.5,13.2704166666667,-7.06370833333333,81.3566666666667,1.74920833333333,203.979166666667,1.726375,0.73475,2.36195833333333,226.716666666667,2.36195833333333,221.279166666667,31.9120833333333,704.98795,62.4258333333333,47.1819583333333,250.904166666667,279.504166666667,15.075,-28.0989583333333,0.315208333333333,-13.024625,0,1.12154166666667,-3.03145833333333,0,0,1.43966666666667,-2.308875,0,0,2.21479166666667,-1.29529166666667,0,0,1.317,-0.492333333333333,0,0,1.33916666666667,-0.0642083333333333,0,0,1.848625,0.149833333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-17 00:00:00,44.5,13.3554166666667,-7.28808333333333,77.0495833333333,1.743625,189.916666666667,1.72016666666667,0.75475,2.79525,217.91125,2.79525,224.029166666667,34.1908333333333,703.19375,55.81275,40.86,253.4,278.329166666667,14.9156666666667,-24.07375,0.301666666666667,-9.15775,0,1.12104166666667,-2.64020833333333,0,0,1.44616666666667,-2.03391666666667,0,0,2.233,-1.20675,0,0,1.3155,-0.515625,0,0,1.33295833333333,-0.0795,0,0,1.801125,0.215291666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-18 00:00:00,68.5,13.3770833333333,-11.6242608695652,81.3054166666667,1.67608333333333,214.254166666667,1.64021739130435,0.828791666666667,1.11704166666667,231.370833333333,1.11704166666667,237.658333333333,41.4933333333333,702.507479166667,43.6844583333333,33.7773333333333,237.175,258.029166666667,9.90758333333333,-19.952,0.3605,-10.0452916666667,0,1.12645833333333,-2.318125,0,0,1.45104166666667,-1.81383333333333,0,0,2.24804166666667,-1.122625,0,0,1.32175,-0.511708333333334,0,0,1.33170833333333,-0.0865833333333333,0,0,1.74395833333333,0.202416666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-19 00:00:00,92.5,13.3425,-11.9945833333333,72.9416666666667,1.69575,193.245833333333,1.657875,0.815125,1.11633333333333,190.045333333333,1.11633333333333,200.395416666667,15.839625,707.847866666667,73.6572916666667,54.0692083333333,200.575,247.4625,19.5935416666667,-45.8025,0.443958333333333,-26.2059166666667,0,1.12966666666667,-2.07229166666667,0,0,1.44954166666667,-1.623125,0,0,2.24541666666667,-1.02733333333333,0,0,1.31995833333333,-0.489541666666667,0,0,1.32820833333333,-0.0894583333333333,0,0,1.72604166666667,0.195125,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-20 00:00:00,116.5,13.3379166666667,-6.06341666666667,68.1016666666667,1.69725,181.670833333333,1.67820833333333,0.795083333333333,3.58770833333333,208.68875,3.58770833333333,216.6125,26.45875,704.917833333333,75.37975,53.046625,205.804166666667,274.058333333333,22.20375,-67.5775833333333,0.420625,-45.3762083333333,0,1.13358333333333,-2.08808333333333,0,0,1.45404166666667,-1.61520833333333,0,0,2.26266666666667,-1.00695833333333,0,0,1.31579166666667,-0.47625,0,0,1.326,-0.08875,0,0,1.71725,0.184958333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-21 00:00:00,140.5,13.2945833333333,-5.74045833333333,78.03,1.70983333333333,187.154166666667,1.69183333333333,0.783041666666667,2.20358333333333,209.683333333333,2.20358333333333,220.016666666667,31.96125,702.406325,58.8465416666667,41.7650416666667,267.191666666667,286.216666666667,17.0707916666667,-18.572875,0.304291666666667,-1.504125,0,1.136125,-2.051875,0,0,1.46275,-1.60466666666667,0,0,2.26266666666667,-1.01445833333333,0,0,1.31533333333333,-0.487,0,0,1.32479166666667,-0.103375,0,0,1.711875,0.181583333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-22 00:00:00,164.5,13.2920833333333,-5.22379166666667,82.1525,1.65308333333333,209.225,1.63716666666667,0.835708333333333,1.5125,229.120833333333,1.5125,219.6125,28.695,700.140025,36.1682916666667,27.6889166666667,276.05,288.454166666667,8.48116666666667,-11.9513333333333,0.319916666666667,-3.47133333333333,0,1.13591666666667,-1.90158333333333,0,0,1.45920833333333,-1.50183333333333,0,0,2.2675,-0.97125,0,0,1.31533333333333,-0.4765,0,0,1.31608333333333,-0.105,0,0,1.709125,0.169041666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-23 00:00:00,188.5,12.9145833333333,-6.32879166666667,86.0304166666667,1.540875,196.641666666667,1.52320833333333,0.940916666666667,1.78633333333333,211.5625,1.78633333333333,218.479166666667,27.7729166666667,695.626495833333,35.4365833333333,26.8534583333333,266.075,283.658333333333,8.58670833333333,-16.9899166666667,0.308958333333333,-8.40220833333333,0,1.1405,-1.7185,0,0,1.469125,-1.36379166666667,0,4.16666666666667e-05,2.28145833333333,-0.894166666666667,0,0,1.31508333333333,-0.446041666666667,0,0,1.31533333333333,-0.0975416666666667,0,0,1.718375,0.165708333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-24 00:00:00,212.5,13.3125,-9.54491666666667,78.5170833333333,1.46866666666667,190.408333333333,1.44258333333333,1.02566666666667,1.24820833333333,228.9,1.24820833333333,226.308333333333,27.0013333333333,695.046879166667,65.0936666666667,49.0466666666667,202.575,253.6,16.0604166666667,-50.69,0.365833333333333,-34.6292083333333,0,1.15033333333333,-1.544125,0,0,1.47,-1.22354166666667,0,0,2.28658333333333,-0.801875,0,0,1.32116666666667,-0.407583333333333,0,0,1.32179166666667,-0.07775,0,0,1.71625,0.179041666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-25 00:00:00,236.5,13.3841666666667,-13.280375,82.02,1.52808333333333,185.1375,1.49041666666667,0.978916666666667,0.548333333333333,226.625,0.548333333333333,231.2875,22.2789166666667,691.736575,57.1647083333333,48.6143333333333,227.616666666667,244.695833333333,8.55654166666667,-16.065625,0.381,-7.509375,0,1.14566666666667,-1.41029166666667,0,0,1.46854166666667,-1.11179166666667,0,0,2.28816666666667,-0.720958333333333,0,0,1.31475,-0.366333333333333,0,0,1.32020833333333,-0.0565833333333334,0,0,1.71891666666667,0.187541666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-26 00:00:00,260.5,13.37125,-15.8283333333333,80.4666666666667,1.56691666666667,185.608333333333,1.52054166666667,0.952708333333333,0.692458333333334,217.999166666667,0.692458333333334,227.683333333333,27.59875,692.391445833333,53.6979166666667,42.5194166666667,211.941666666667,236.091666666667,11.1710833333333,-22.9941666666667,0.325916666666667,-11.8225,0,1.15091666666667,-1.36591666666667,0,0,1.47629166666667,-1.06391666666667,0,4.16666666666667e-05,2.3045,-0.676416666666666,0,0,1.32004166666667,-0.336041666666667,0,0,1.32741666666667,-0.0347083333333333,0,0,1.72458333333333,0.200833333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-27 00:00:00,284.5,13.3583333333333,-9.34929166666667,61.0429166666667,1.56229166666667,188.475,1.53533333333333,0.937416666666667,2.92204166666667,218.029166666667,2.92204166666667,216.454166666667,23.84,702.316416666667,81.006125,59.7720416666666,193.083333333333,257.358333333333,21.2252083333333,-63.4695833333333,0.523291666666667,-42.245125,0,1.152875,-1.42216666666667,0,0,1.47829166666667,-1.093625,0,0,2.30270833333333,-0.674958333333333,0,0,1.31941666666667,-0.31725,0,0,1.324375,-0.0245833333333333,0,0,1.73695833333333,0.214708333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-28 00:00:00,308.5,13.34375,-0.951875,53.4120833333333,1.56266666666667,187.0125,1.55991666666667,0.913083333333333,2.18591666666667,226.891666666667,2.18591666666667,217.566666666667,28.3591666666667,707.336158333333,89.480375,65.7467083333333,232.354166666667,288.920833333333,23.7044583333333,-56.475,0.26525,-32.767625,0,1.15,-1.487125,0,0,1.47795833333333,-1.14270833333333,0,0,2.30725,-0.694833333333333,0,0,1.31316666666667,-0.318291666666667,0,0,1.329375,-0.0121666666666667,0,0,1.73816666666667,0.221,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-29 00:00:00,332.5,13.3558333333333,-0.772208333333333,38.33125,1.58404166666667,181.920833333333,1.58170833333333,0.894125,1.57066666666667,232.175,1.57066666666667,224.766666666667,29.88125,700.9805375,84.6924583333333,60.48325,234.216666666667,283.3375,24.2964583333333,-48.94875,0.232375,-24.6520416666667,0,1.15133333333333,-1.48675,0,0,1.476,-1.14883333333333,0,0,2.30870833333333,-0.702666666666666,0,0,1.31554166666667,-0.330458333333333,0,0,1.3295,-0.012375,0,0,1.74895833333333,0.221,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-30 00:00:00,356.5,13.1741666666667,-7.32575,84.8929166666667,1.55354166666667,209.825,1.53270833333333,0.935416666666667,1.331625,199.74,1.331625,220.025,46.05,699.8660375,49.8900833333333,38.6145,267.8,280.8625,11.2870416666667,-12.5155833333333,0.332416666666667,-1.2275,0,1.155,-1.44495833333333,0,0,1.47979166666667,-1.11833333333333,0,4.16666666666667e-05,2.3185,-0.688625,0,0,1.32025,-0.31725,0,0,1.33070833333333,-0.0115416666666667,0,0,1.753125,0.220791666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-31 00:00:00,380.5,13.3133333333333,-7.64139130434783,56.29625,1.53116666666667,178.508333333333,1.50969565217391,0.962875,1.66633333333333,213.345833333333,1.66633333333333,204.620833333333,33.4491666666667,710.757358333333,89.2939583333334,66.5840833333333,186.858333333333,255.420833333333,22.7988333333333,-68.0991666666667,0.5045,-45.300125,0,1.15295833333333,-1.40879166666667,0,0,1.47704166666667,-1.089875,0,0,2.32154166666667,-0.672958333333333,0,0,1.31866666666667,-0.315,0,0,1.326625,-0.00966666666666667,0,0,1.75804166666667,0.221,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-01 00:00:00,404.5,13.3204166666667,-3.04816666666667,29.495,1.544375,178.070833333333,1.5355,0.937541666666667,0.984166666666667,217.025,0.984166666666667,215.1,29.8275,710.530670833333,84.707625,62.1362083333333,217.995833333333,265.716666666667,22.5686666666667,-46.9829166666667,-0.416083333333333,-24.4177083333333,0,1.15325,-1.36675,0,0,1.48720833333333,-1.05883333333333,0,0,2.31883333333333,-0.65475,0,0,1.3165,-0.303333333333333,0,0,1.32225,-0.009,0,0,1.77183333333333,0.220375,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-02 00:00:00,428.5,13.3025,-0.570416666666667,53.4408333333334,1.555,185.783333333333,1.55341666666667,0.919541666666666,2.07616666666667,196.930416666667,2.07616666666667,211.704166666667,27.7454166666667,707.406895833333,83.6662083333333,59.8635416666667,217.083333333333,286.095833333333,23.913875,-68.6404166666667,0.390916666666667,-44.7303333333333,0,1.16145833333333,-1.362,0,0,1.48641666666667,-1.05645833333333,0,4.16666666666667e-05,2.32754166666667,-0.64025,0,0,1.31466666666667,-0.296208333333333,0,0,1.32791666666667,-0.00879166666666667,0,0,1.76975,0.221,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-03 00:00:00,452.5,13.3125,-3.147875,74.9529166666667,1.55745833333333,196.854166666667,1.548625,0.927333333333333,1.82208333333333,186.777958333333,1.82208333333333,220.8625,40.6408333333333,699.551445833333,37.0084583333333,27.694875,274.316666666667,294.166666666667,9.3165,-19.676875,0.309833333333333,-10.3601666666667,0,1.15875,-1.34554166666667,0,0,1.48566666666667,-1.04095833333333,0,0,2.32466666666667,-0.638833333333333,0,0,1.32008333333333,-0.296,0,0,1.322375,-0.00741666666666667,0,0,1.7815,0.221,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-04 00:00:00,476.5,13.1883333333333,-12.9279166666667,84.1033333333333,1.464625,190.891666666667,1.42958333333333,1.024,2.617125,228.675,2.617125,223.7125,35.06375,698.341583333333,69.3309583333333,51.9249166666667,251.570833333333,261.783333333333,17.1989166666667,-9.93791666666667,0.341541666666667,7.260625,0,1.15954166666667,-1.25625,0,0,1.489375,-0.97575,0,0,2.3355,-0.608166666666666,0,0,1.32116666666667,-0.282666666666667,0,0,1.3315,0.00491666666666667,0,0,1.77625,0.221,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-05 00:00:00,500.5,12.6825,-12.1720833333333,87.4483333333333,1.46975,187.895833333333,1.43645833333333,1.04283333333333,2.39,228.6625,2.39,226.691666666667,36.8908333333333,695.4815,21.3836666666667,17.1233333333333,257.254166666667,264.120833333333,4.257875,-5.84445833333333,0.355375,-1.58641666666667,0,1.16629166666667,-1.16916666666667,0,0,1.4895,-0.903416666666667,0,0,2.338,-0.567583333333333,0,0,1.316625,-0.2645,0,0,1.34079166666667,0.00979166666666667,0,0,1.793,0.22225,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-06 00:00:00,524.5,13.0295833333333,-10.8891666666667,90.9666666666667,1.35158333333333,193.104166666667,1.3245,1.148125,2.88658333333333,227.808333333333,2.88658333333333,230.15,38.525,695.59545,28.606875,22.581125,265.620833333333,269.958333333333,6.028,-3.64145833333333,0.390416666666667,2.38595833333333,0,1.16683333333333,-1.14733333333333,0,0,1.4915,-0.87175,0,0,2.33925,-0.544208333333334,0,0,1.323375,-0.245833333333333,0,0,1.34004166666667,0.0198333333333333,0,0,1.80045833333333,0.232583333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
2021-02-07 00:00:00,548.5,13.2870833333333,-8.07283333333333,80.25375,1.24241666666667,184.7875,1.22391666666667,1.21741666666667,2.246375,219.29375,2.246375,222.7875,57.8975,693.67405,105.715416666667,77.1545,245.1375,275.583333333333,28.1943333333333,-29.613875,0.361833333333333,-1.41816666666667,0,1.16225,-1.153,0,0,1.49516666666667,-0.872625,0,4.16666666666667e-05,2.34891666666667,-0.542291666666667,0,0,1.31904166666667,-0.239,0,0,1.35845833333333,0.0287916666666667,0,0,1.80254166666667,0.24,0,NaN,NaN,NaN,NaN,NaN,NaN
