TIMESTAMP,RECORD,BattV_Min,AirTC_Avg,RH,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,BP_mbar_Avg,CM3Up_Avg,CM3Dn_Avg,CG3Up_Avg,CG3Dn_Avg,Albedo_Avg,NetRs_Avg,NetRl_Avg,NetTot_Avg,WS_ms_Avg,WS_ms_Max,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,UpTot_Avg,DnTot_Avg,CG3UpCo_Avg,CG3DnCo_Avg,BFS_density,SWE
2023-10-23 00:00:00,686.5,13.5328125,8.9085625,27.4558333333333,2.72469791666667,196.644791666667,2.76869791666667,-0.00382291666666667,330.00161875,159.568125,24.6233020833333,-103.970416666667,5.34614583333333,Inf,134.940239583333,-109.312395833333,25.6224375,1.9441875,2.91817708333333,210.652083333333,1.9441875,213.990625,26.23934375,55.5942708333333,29.9685416666667,NaN,NaN,250,-0.0955729166666667
2023-10-24 00:00:00,782.5,13.5983333333333,5.37086458333333,40.4320833333333,2.74147916666667,196.102083333333,2.76827083333333,-0.00328125000000001,332.302592708333,91.25046875,14.6770104166667,-91.6144791666667,0.69653125,Inf,76.5756875,-92.3129166666666,-15.7390625,1.53890625,2.16439583333333,221.409375,1.53890625,222.659375,25.7256666666667,-0.361343750000005,15.3744479166667,NaN,NaN,250,-0.0820312500000002
2023-10-25 00:00:00,878.5,13.5694791666667,5.65577083333333,40.3628125,2.74052083333333,198.266666666667,2.76866666666667,-0.00329166666666667,332.368621875,157.965854166667,24.9812395833333,-109.283854166667,6.98201041666667,-0.531815972222222,132.9876875,-116.253854166667,16.73278125,2.12257291666667,2.98197916666667,217.541666666667,2.12257291666667,220.413541666667,24.405,48.6911458333333,31.9616458333333,NaN,NaN,250,-0.0822916666666668
2023-10-26 00:00:00,974.5,13.4975,0.463791666666666,57.3480208333333,2.758375,214.769791666667,2.76042708333333,-0.00487280701754387,335.329548958333,121.20246875,17.2124583333333,-65.7849270833334,6.99915625,Inf,103.995927083333,-72.7844479166667,31.20853125,3.14630208333333,4.40670833333333,210.407291666667,3.14630208333333,211.111458333333,27.6423958333333,55.4216041666666,24.2106145833333,NaN,NaN,250,-0.121820175438597
2023-10-27 00:00:00,1070.5,13.5419791666667,-1.03129166666667,71.91125,2.77889583333333,218.4625,2.77361458333333,-0.00771031373075547,339.582234375,47.3491354166667,23.8604895833333,-29.9890625,-3.49013541666667,Inf,23.4925,-26.498125,-3.00630208333333,1.64044791666667,2.49872916666667,209.34,1.64044791666667,212.48125,33.4484375,17.36053125,20.3702291666667,NaN,NaN,250,-0.192757843268887
2023-10-28 00:00:00,1166.5,12.7985416666667,-5.50302083333333,90.9114583333333,2.45786458333333,274.226041666667,2.43273958333333,0.0330892857142857,340.6507625,13.68690625,27.85246875,-0.679395833333333,-1.60395833333333,Inf,-14.1643333333333,0.9245,-13.24075,0.598302083333333,1.09992708333333,125.766895833333,0.598302083333333,125.098125,29.0169791666667,13.0080416666667,26.2481875,NaN,NaN,250,0.827232142857143
2023-10-29 00:00:00,1262.5,13.0582291666667,-12.9335416666667,77.6133333333333,2.48847916666667,244.941354166667,2.42871875,0.090483418367347,345.391628125,36.630625,98.7647916666667,0.1218125,-11.62675,Inf,-62.1377395833333,11.7488854166667,-50.38521875,1.00083333333333,1.61848958333333,182.498645833333,1.00083333333333,149.234125,33.0440833333333,36.7511666666667,87.13834375,NaN,NaN,250,2.26208545918367
2023-10-30 00:00:00,1358.5,13.3020833333333,-9.86329166666667,44.14125,2.70936458333333,220.496875,2.65983333333333,0.104604166666667,344.878779166667,139.859145833333,130.3288125,-46.64571875,-18.2735416666667,173.971663043478,9.53,-28.3751666666667,-18.8443854166667,2.08930208333333,2.96542708333333,201.2040625,2.08930208333333,198.136979166667,30.0365625,93.2091770833334,112.054072916667,NaN,NaN,250,2.61510416666667
2023-10-31 00:00:00,1454.5,13.5561458333333,-5.3513125,46.6473958333333,2.6844375,249.804166666667,2.65777083333333,0.0921059523809524,342.097060416667,144.1945,116.544010416667,-95.9075,-17.2977083333333,Inf,27.6504583333333,-78.6090625,-50.9553645833333,2.37880208333333,3.19996875,188.828885416667,2.37880208333333,188.5059375,27.9392916666667,48.2919375,99.2454375,NaN,NaN,250,2.30264880952381
2023-11-01 00:00:00,1550.5,13.6120833333333,-1.432125,43.3667708333333,2.6941875,253.929166666667,2.68697916666667,0.0643732142857143,339.178175,126.005708333333,90.3186041666667,-91.31125,-19.019375,Inf,35.6876979166667,-72.2922916666667,-36.6070833333333,1.96239583333333,2.7535,223.9625,1.96239583333333,214.311458333333,24.2676041666667,34.690125,71.29671875,NaN,NaN,250,1.60933035714286
2023-11-02 00:00:00,1646.5,13.651875,0.368802083333333,40.2934375,2.705125,228.273958333333,2.70685416666667,0.0574322916666667,337.861870833333,107.688791666667,78.6851041666667,-76.123125,-17.3558333333333,NaN,29.0041041666667,-58.7680729166667,-29.7619583333333,2.13208333333333,3.12017708333333,216.3990625,2.13208333333333,215.2375,29.459375,31.56403125,61.32921875,NaN,NaN,250,1.43580729166667
2023-11-03 00:00:00,1742.5,13.5961458333333,1.83244791666667,54.9242708333333,2.71785416666667,214.441666666667,2.72694791666667,0.0394583333333333,336.718791666667,117.603677083333,70.9451458333333,-75.1494791666667,-14.6659583333333,Inf,46.6581979166667,-60.4806458333333,-13.8208958333333,2.43065625,3.34119791666667,221.026041666667,2.43065625,222.360416666667,27.1944791666667,42.4565208333333,56.2755729166666,NaN,NaN,250,0.986458333333334
2023-11-04 00:00:00,1838.5,13.6169791666667,2.43155208333333,51.5788541666667,2.73371875,214.4,2.74578125,0.0180104166666667,339.559980208333,140.267572916667,58.5010520833333,-99.6911458333333,-13.9114375,Inf,81.7702916666667,-85.7801041666667,-4.01278125,2.50870833333333,3.42216666666667,212.692604166667,2.50870833333333,215.540625,27.3533333333333,40.57459375,44.5867604166667,NaN,NaN,250,0.450260416666667
2023-11-05 00:00:00,1934.5,13.5354166666667,4.75828125,36.5282291666667,2.74086458333333,207.533333333333,2.76453125,0.000624999999999996,335.247078125,122.209166666667,17.98678125,-93.0761458333333,-14.3603020833333,Inf,104.221875,-78.7110416666667,25.516125,2.67413541666667,3.907125,216.790416666667,2.67413541666667,220.294791666667,34.0982291666667,29.1377083333333,3.62753125,NaN,NaN,250,0.0156249999999999
2023-11-06 00:00:00,2030.5,13.5652083333333,4.87439583333333,33.0196875,2.74027083333333,204.933333333333,2.76463541666667,-0.000156249999999987,333.621697916667,98.476375,10.90290625,-66.069375,-9.57661458333333,Inf,87.5733229166667,-56.4884375,31.0804791666667,2.40352083333333,3.75983333333333,202.143645833333,2.40352083333333,206.152083333333,36.58125,32.4047916666667,1.32636458333333,NaN,NaN,250,-0.00390624999999969
2023-11-07 00:00:00,2126.5,13.5880208333333,3.75590625,42.2259375,2.75689583333333,213.995833333333,2.77575,-0.0100426136363636,332.94664375,106.027208333333,13.212,-53.7505625,-0.495239583333333,Inf,92.813125,-53.2535208333333,39.5590625,2.62151041666667,3.98947916666667,206.517614583333,2.62151041666667,207.04375,35.4010416666667,52.2732604166667,12.7173541666667,NaN,NaN,250,-0.251065340909091
2023-11-08 00:00:00,2222.5,13.5047916666667,-6.08511458333333,82.5758333333333,2.69686458333333,285.36875,2.66661458333333,-0.00232954545454544,341.120754166667,44.59984375,47.2003645833333,-0.483708333333333,-6.1089375,NaN,-2.60030208333333,5.62585416666667,3.02577083333333,0.7886875,1.36171875,187.663666666667,0.7886875,184.6096875,40.1799270833333,44.1152395833334,41.0895729166667,NaN,NaN,250,-0.0582386363636359
2023-11-09 00:00:00,2318.5,13.6408333333333,-7.13021875,62.1805208333333,2.77875,260.653125,2.74227083333333,0.0145795454545455,342.40060625,113.552375,97.5883333333333,-49.7130520833333,-12.4609791666667,0.103458333333333,15.9636979166667,-37.2548645833333,-21.294875,1.49219791666667,2.1933125,185.385854166667,1.49219791666667,191.528125,32.4669583333333,63.8360104166667,85.1275208333333,NaN,NaN,250,0.364488636363637
2023-11-10 00:00:00,2414.5,13.6552083333333,-4.56559375,31.37625,2.77570833333333,222.589583333333,2.75232291666667,0.0128551136363637,341.26075,144.375885416667,71.8058541666667,-111.061458333333,-9.85713541666667,Inf,72.5716875,-101.2,-28.6265,2.02645833333333,2.82952083333333,205.4268125,2.02645833333333,202.72128125,26.5303125,33.3236041666667,61.95009375,NaN,NaN,250,0.321377840909091
2023-11-11 00:00:00,2510.5,13.6369791666667,-3.55379166666667,36.7021875,2.78655208333333,224.407291666667,2.76835416666667,-0.00215625,340.727253125,131.61565625,29.9539270833333,-100.599166666667,-3.405875,Inf,101.664479166667,-97.1933333333333,4.46476041666666,2.44334375,3.44290625,210.55,2.44334375,218.252083333333,31.5425625,31.0077083333333,26.5467083333333,NaN,NaN,250,-0.05390625
2023-11-12 00:00:00,2606.5,13.55875,1.00070833333333,25.3335416666667,2.7643125,218.926041666667,2.76910416666667,-0.00390625000000001,337.896192708333,123.54028125,17.8591979166667,-110.488541666667,-7.23764583333333,Inf,105.683520833333,-103.251041666667,2.42941666666666,1.59375,2.37977083333333,200.324822916667,1.59375,210.083333333333,30.6491770833333,13.0521875,10.62165625,NaN,NaN,227,-0.0886718750000002
2023-11-13 00:00:00,2702.5,13.5544791666667,4.82611458333333,17.7159375,2.73622916666667,230.401041666667,2.76027083333333,0.00103645833333332,333.643236458333,122.887552083333,17.50409375,-116.0496875,-11.2167291666667,Inf,105.383739583333,-104.832708333333,0.549052083333328,2.16642708333333,3.0401875,216.055104166667,2.16642708333333,218.413541666667,24.8086458333333,6.83635416666666,6.28757291666667,NaN,NaN,250,0.0259114583333329
2023-11-14 00:00:00,2798.5,13.5161458333333,2.27977083333333,27.5904166666667,2.75367708333333,210.060416666667,2.765125,0.00101041666666667,335.191221875,117.886864583333,17.76075,-113.183333333333,-3.58463541666667,-0.462677083333333,100.12721875,-109.601041666667,-9.47656250000001,2.3506875,3.33113541666667,216.942708333333,2.3506875,218.960416666667,25.2998958333333,4.69896875000001,14.1761979166667,NaN,NaN,276,0.0278875
2023-11-15 00:00:00,2894.5,13.5234375,3.05925,27.2328125,2.75382291666667,204.428125,2.76916666666667,-0.00403125000000001,335.168885416667,113.725010416667,16.52459375,-107.597916666667,-3.59483333333333,Inf,97.1963854166667,-103.996666666667,-6.79795833333334,2.21267708333333,3.01559375,213.847916666667,2.21267708333333,216.654166666667,22.1958333333333,6.13052083333334,12.9291041666667,NaN,NaN,303,-0.122146875
