TIMESTAMP,RECORD,BattV_Min,AirTC,RH,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,WS_ms,WindDir,SWin_Avg,SWout_Avg,LWin_Avg,LWout_Avg,SWnet_Avg,LWnet_Avg,SWalbedo_Avg,NR_Avg,VWC_5cm_Avg,Ka_5cm_Avg,T_5cm_Avg,BulkEC_5cm_Avg,VWC_10cm_Avg,Ka_10cm_Avg,T_10cm_Avg,BulkEC_10cm_Avg,VWC_20cm_Avg,Ka_20cm_Avg,T_20cm_Avg,BulkEC_20cm_Avg,VWC_30cm_Avg,Ka_30cm_Avg,T_30cm_Avg,BulkEC_30cm_Avg,VWC_40cm_Avg,Ka_40cm_Avg,T_40cm_Avg,BulkEC_40cm_Avg,VWC_50cm_Avg,Ka_50cm_Avg,T_50cm_Avg,BulkEC_50cm_Avg,VWC_60cm_Avg,Ka_60cm_Avg,T_60cm_Avg,BulkEC_60cm_Avg,VWC_75cm_Avg,Ka_75cm_Avg,T_75cm_Avg,BulkEC_75cm_Avg,VWC_100cm_Avg,Ka_100cm_Avg,T_100cm_Avg,BulkEC_100cm_Avg,SWin_2_Avg,SWout_2_Avg,LWin_2_Avg,LWout_2_Avg,SWnet_2_Avg,LWnet_2_Avg,SWalbedo_2_Avg,NR_2_Avg,DTC_Avg_1_,DTC_Avg_2_,DTC_Avg_3_,DTC_Avg_4_,DTC_Avg_5_,DTC_Avg_6_,UFWx_density,SWE
2023-05-24 00:00:00,5442.5,13.0125,4.167375,87.14125,1.61545833333333,194.35,1.627625,0.68225,0.0912916666666666,236.845416666667,56.910875,17.85275,323.933333333333,323.875,39.0514583333333,0.401041666666667,0.183416666666667,39.4619583333333,0,2.04225,0.0932916666666667,0,0.001875,2.23758333333333,0.0380833333333334,0,0,2.02933333333333,0.0339166666666667,0,0,1.78166666666667,-0.027125,0,0,1.91775,0.011375,0,0,0.942083333333333,0.0937083333333333,0,0.0902916666666667,5.55304166666667,0.104916666666667,0,0.796541666666667,61.3420833333333,0.157083333333333,0,0.779625,59.735,0.290166666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,463,31.588175
2023-05-25 00:00:00,5466.5,13.0095833333333,5.35558333333333,79.77375,1.64379166666667,199.479166666667,1.65966666666667,0.650458333333333,0.0839583333333334,217.279166666667,72.5837083333333,21.8776666666667,330.633333333333,325.108333333333,50.5197083333333,5.94458333333333,0.213083333333333,56.45925,0,1.688375,0.382625,0,0.000625,1.94979166666667,0.102416666666667,0,0.00025,2.11741666666667,0.0425,0,0,1.78658333333333,-0.0248333333333333,0,0,1.91858333333333,0.0115416666666667,0,0,0.951625,0.0900833333333333,0,0.338458333333333,22.9992083333333,0.0814583333333333,0,0.797708333333333,61.4491666666667,0.106291666666667,0,0.779916666666667,59.7695833333333,0.244958333333333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,458,29.7909916666667
2023-05-26 00:00:00,5490.5,13.015,5.02570833333333,72.9441666666667,1.677125,206.795833333333,1.69233333333333,0.618875,0.15,236.2125,57.2905,18.0042083333333,321.558333333333,324.283333333333,39.3777083333333,-2.38691666666667,0.209583333333333,36.9935833333333,0,1.15129166666667,2.65233333333333,0,0,1.33795833333333,1.39225,0,4.16666666666667e-05,1.85070833333333,0.162291666666667,0,0,1.762875,-0.011125,0,0,1.96454166666667,0.0131666666666667,0,0,0.956875,0.0884583333333333,0,0.445,29.9379166666667,0.07075,0,0.798708333333333,61.5445833333333,0.0846666666666667,0,0.780666666666667,59.83875,0.214458333333333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,457,28.2825875
2023-05-27 00:00:00,5514.5,13.0133333333333,5.94570833333333,62.0645833333333,1.70675,217.220833333333,1.72520833333333,0.58425,0.161708333333333,236.529166666667,75.4857083333333,22.69575,317.991666666667,325.270833333333,52.5545,-6.98179166666667,0.199125,45.5712083333333,0,0.949541666666667,4.43995833333333,0,0,0.955833333333333,3.71533333333333,0,0,1.26079166666667,1.28475,0,0,1.51991666666667,0.115958333333333,0,0,1.899,0.0254166666666667,0,0,0.945166666666667,0.0961666666666667,0,0.300583333333333,18.736875,0.084875,0,0.7995,61.6233333333333,0.121166666666667,0,0.780916666666667,59.86375,0.250208333333333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,453,26.466525
2023-05-28 00:00:00,5538.5,13.0458333333333,4.90879166666667,65.9729166666667,1.74758333333333,203.529166666667,1.76304166666667,0.547375,0.200416666666667,202.69625,86.2795,22.6887083333333,309.958333333333,324.35,63.9217083333333,-13.977,0.188208333333333,49.94425,0,0.941416666666667,4.158125,0,0,0.966083333333334,3.89941666666667,0,0,0.914708333333333,2.67795833333333,0,0,1.17470833333333,0.697208333333333,0,0,1.53879166666667,0.0923333333333333,0,0,0.940583333333334,0.11775,0,0.102958333333333,5.99783333333333,0.134875,0,0.799791666666667,61.6558333333333,0.236708333333333,0,0.780416666666667,59.81875,0.337375,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456,24.9603
2023-05-29 00:00:00,5562.5,13.0654166666667,5.84141666666667,63.0845833333333,1.78066666666667,207.6,1.79929166666667,0.511,0.202291666666667,215.575833333333,99.293375,24.5240416666667,315.279166666667,325.379166666667,73.3808333333333,-9.80004166666667,0.183,63.584,0,0.942541666666667,5.0575,0,0,0.973666666666666,4.83866666666667,0,0,0.881041666666667,3.91504166666667,0,0,0.986208333333333,1.93720833333333,0,0,1.20204166666667,0.390291666666667,0,0,0.937041666666667,0.182791666666667,0,0.0967916666666667,5.73729166666667,0.181916666666667,0,0.800416666666667,61.69875,0.321791666666667,0,0.781416666666667,59.90125,0.419625,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455,23.2505
2023-05-30 00:00:00,5586.5,13.0454166666667,5.90716666666667,57.6395833333333,1.82395833333333,212.729166666667,1.84325,0.466833333333333,0.0859166666666667,220.480833333333,64.6656666666667,16.0029583333333,312.816666666667,325.3,48.6382916666667,-12.1337916666667,0.158791666666667,36.4983333333333,0,0.942916666666667,4.95408333333333,0,0,0.966125,4.79341666666667,0,0,0.88325,4.10195833333333,0,0,0.936833333333333,2.49966666666667,0,0,0.999958333333333,0.71225,0,0,0.929791666666667,0.263333333333333,0,0.0926666666666667,5.56683333333333,0.26675,0,0.800083333333333,61.6783333333333,0.484458333333333,0,0.778541666666667,59.6391666666667,0.558125,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,461,21.5210166666667
2023-05-31 00:00:00,5610.5,13.0570833333333,6.18820833333333,62.9133333333333,1.86295833333333,206.0625,1.88375,0.4255,0.155791666666667,207.9845,97.6262083333333,21.94225,321.633333333333,326.8375,76.2347083333333,-4.87791666666666,0.183041666666667,71.3592083333333,0,0.94075,5.90533333333333,0,0,0.968875,5.780625,0,0,0.890041666666667,5.29008333333333,0,0,0.930333333333333,4.25625,0,0,0.913416666666667,2.13441666666667,0,0,0.924208333333333,0.618,0,0.088125,5.37983333333333,0.4155,0,0.800041666666667,61.6691666666667,0.65875,0,0.776541666666667,59.445,0.722041666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,453,19.27515
2023-06-01 00:00:00,5634.5,13.0691666666667,3.61654166666667,88.3045833333333,1.91045833333333,200.279166666667,1.92295833333333,0.387,0.131083333333333,206.1025,53.2230833333333,13.4427083333333,327.916666666667,325.220833333333,39.8244583333333,3.00275,0.140083333333333,42.8332083333333,0,1.00895833333333,3.306125,0,0,1.04479166666667,3.23308333333333,0,0,0.967125,3.083875,0,0,1.01079166666667,2.62145833333333,0,0,0.950666666666666,1.70945833333333,0,0,0.973208333333333,0.651,0,0.0815,5.115625,0.575833333333333,0,0.799916666666667,61.6545833333333,0.89025,0,0.775125,59.3179166666667,0.940041666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,445,17.2215
2023-06-02 00:00:00,5658.5,13.1025,2.7605,96.9083333333333,1.9565,201.4375,1.96625,0.343708333333333,0.094125,217.016666666667,75.3713333333333,15.969375,332.2,324.879166666667,59.384,7.640625,0.126333333333333,67.023,0,1.06658333333333,2.949,0,0,1.11683333333333,2.9755,0,0,1.00929166666667,2.89441666666667,0,0,1.04495833333333,2.60945833333333,0,0,0.976541666666667,2.19958333333333,0,0,0.98375,1.15279166666667,0,0.0786666666666667,5.00079166666667,0.675375,0,0.799875,61.6579166666667,0.846541666666667,0,0.774666666666667,59.2708333333333,0.952916666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,443,15.2262791666667
