TIMESTAMP,RECORD,BattV_Min,AirTC_Avg,RH,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,BP_mbar_Avg,CM3Up_Avg,CM3Dn_Avg,CG3Up_Avg,CG3Dn_Avg,Albedo_Avg,NetRs_Avg,NetRl_Avg,NetTot_Avg,WS_ms_Avg,WS_ms_Max,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,UpTot_Avg,DnTot_Avg,CG3UpCo_Avg,CG3DnCo_Avg,UFN_density,SWE
2024-11-01 00:00:00,6812.5,12.7291666666667,-3.31958333333333,71.605,2.51425,219.2875,2.49891666666667,0.0910416666666667,707.632291666667,2.18325,5.48041666666667,-0.129375,-5.982625,0.585818181818182,-3.29741666666667,5.853375,2.555625,0.000583333333333333,0.0235,199.138333333333,0.000583333333333333,55.1581666666667,2.882375,2.05383333333333,-0.501958333333333,NaN,NaN,250,2.27604166666667
2024-11-02 00:00:00,6836.5,12.7595833333333,-1.53833333333333,64.4875,2.51829166666667,240.191666666667,2.51116666666667,0.0785833333333333,704.70645,5.024,5.84816666666667,-9.957875,-5.32983333333333,Inf,-0.823833333333333,-4.62791666666667,-5.45183333333333,0.000166666666666667,0.00908333333333333,178.369166666667,0.000166666666666667,43.325,0.298041666666667,-4.93454166666667,0.51825,NaN,NaN,250,1.96458333333333
2024-11-03 00:00:00,6860.5,12.9270833333333,-3.60925,83.8991666666667,2.46066666666667,237.116666666667,2.444375,0.098015243902439,699.41945,14.7126666666667,10.8047083333333,-4.61529166666667,-2.7455,0.472866666666667,3.90775,-1.869125,2.03829166666667,0,0,78.9203333333333,0,0,0,10.0984166666667,8.05970833333333,NaN,NaN,250,2.45038109756098
2024-11-04 00:00:00,6884.5,12.68,-6.04866666666667,90.4375,2.34145833333333,240.629166666667,2.31525,0.169984756097561,703.350025,5.50691666666667,12.3682083333333,-0.0592916666666667,-2.45654166666667,-Inf,-6.86141666666667,2.39725,-4.46441666666667,0.00170833333333333,0.0382083333333333,39.5494166666667,0.00170833333333333,20.0208333333333,3.36483333333333,5.448125,9.91129166666667,NaN,NaN,250,4.24961890243902
2024-11-05 00:00:00,6908.5,12.61625,-8.27479166666667,89.3375,2.35745833333333,227.316666666667,2.32166666666667,0.259166666666667,700.2109875,2.393,5.72283333333333,-0.0119166666666667,-1.43033333333333,Inf,-3.329375,1.418375,-1.91158333333333,0.002,0.0412916666666667,139.007833333333,0.002,32.2865833333333,3.435,2.381375,4.293375,NaN,NaN,250,6.47916666666667
2024-11-06 00:00:00,6932.5,12.6308333333333,-10.9091666666667,87.9208333333333,2.11554166666667,246.579166666667,2.07245833333333,0.315254901960784,705.620241666667,5.214,13.8237083333333,-0.202041666666667,-2.3535,-Inf,-8.60970833333333,2.151375,-6.45858333333333,0,0,246.619666666667,0,0,0,5.01175,11.4705833333333,NaN,NaN,250,7.88137254901961
2024-11-07 00:00:00,6956.5,12.6191666666667,-9.12754166666667,88.1408333333333,2.29908333333333,302.070833333333,2.26020833333333,0.29078431372549,710.260320833333,6.40616666666667,7.15304166666667,-0.657958333333333,-0.266458333333333,0.983333333333333,-0.74725,-0.391541666666667,-1.13879166666667,0,8.33333333333333e-05,254.804166666667,0,10.7208333333333,0,5.74783333333333,6.887,NaN,NaN,250,7.26960784313725
2024-11-08 00:00:00,6980.5,12.6175,-4.94516666666667,94.3333333333333,2.30979166666667,240.175,2.28866666666667,0.286660059676044,708.858058333333,5.82245833333333,7.18679166666667,-0.260291666666667,-0.562458333333333,-Inf,-1.36475,0.302208333333333,-1.06220833333333,4.16666666666667e-05,0.001625,253.879166666667,4.16666666666667e-05,11.3708333333333,0,5.56191666666667,6.62445833333333,NaN,NaN,250,7.16650149190111
2024-11-09 00:00:00,7004.5,12.6166666666667,-4.35429166666667,93.5958333333333,2.258125,239.570833333333,2.23995833333333,0.321086956521739,704.756,5.381,7.73225,-0.294333333333333,-0.531666666666667,-532.387733333333,-2.35166666666667,0.237333333333333,-2.11441666666667,0.000791666666666667,0.03125,266.75,0.000791666666666667,107.6125,1.12579166666667,5.08616666666667,7.20095833333333,NaN,NaN,250,8.02717391304348
2024-11-10 00:00:00,7028.5,12.6241666666667,-4.22758333333333,91.5125,2.27425,204.508333333333,2.25645833333333,0.332797101449275,711.3130125,1.35670833333333,2.27129166666667,-0.876083333333333,-0.275916666666667,0.630619047619047,-0.91475,-0.600166666666667,-1.514875,0.000208333333333333,0.00916666666666667,245.9625,0.000208333333333333,26.9833333333333,0.911708333333333,0.4805,1.9955,NaN,NaN,250,8.31992753623188
