TIMESTAMP,RECORD,BattV_Min,AirTC_Avg,RH,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,BP_mbar_Avg,CM3Up_Avg,CM3Dn_Avg,CG3Up_Avg,CG3Dn_Avg,Albedo_Avg,NetRs_Avg,NetRl_Avg,NetTot_Avg,WS_ms_Avg,WS_ms_Max,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,UpTot_Avg,DnTot_Avg,CG3UpCo_Avg,CG3DnCo_Avg,BFN_density,SWE
2023-05-04 00:00:00,1871.5,13.5058333333333,4.87129166666667,55.4725,1.12975,204.504166666667,1.13979166666667,1.40775,348.060966666667,165.282333333333,88.6419166666667,-41.7516666666667,-25.7451666666667,Inf,76.6444583333333,-16.0057083333333,60.6422916666667,0.804208333333333,1.73129166666667,201.521666666667,0.804208333333333,224.609166666667,44.99,123.537708333333,62.9008333333333,-37.4890454545455,-23.3653636363636,447,62.926425
2023-05-05 00:00:00,1895.5,13.5495833333333,4.90925,37.7291666666667,1.16625,213.458333333333,1.17654166666667,1.37108333333333,347.472041666667,247.672958333333,131.719541666667,-71.573875,-31.655,Inf,115.936125,-39.9128333333333,76.021375,0.98375,2.13020833333333,207.037916666667,0.98375,235.404166666667,61.0620833333333,176.101708333333,100.065583333333,-66.4883,-25.768,450,61.69875
2023-05-06 00:00:00,1919.5,13.5279166666667,1.93970833333333,48.7366666666667,1.19879166666667,224.895833333333,1.20304166666667,1.33820833333333,342.003925,216.106583333333,134.373708333333,-51.0999583333333,-20.2195416666667,0.158473684210526,81.7367083333333,-30.8801666666667,50.860375,1.24725,2.56170833333333,231.960416666667,1.24725,248.65,54.7866666666667,165.000791666667,114.151833333333,-51.0326666666667,-20.152875,441,59.0149875
2023-05-07 00:00:00,1943.5,13.6595833333333,0.961333333333333,69.1433333333333,1.17966666666667,231.441666666667,1.181875,1.33120833333333,351.210804166667,196.636708333333,129.643791666667,-17.279625,-12.1252083333333,Inf,66.9835833333334,-5.15441666666667,61.8247083333333,1.32370833333333,2.73454166666667,246.254166666667,1.32370833333333,256.5875,45.1179166666667,179.356375,117.522083333333,-22.6223888888889,-13.6701666666667,448,59.6381333333333
2023-05-08 00:00:00,1967.5,13.5154166666667,4.66779166666667,47.2145833333333,1.20141666666667,227.016666666667,1.21170833333333,1.33529166666667,368.570233333333,212.15925,135.604083333333,-42.75975,-27.7352916666667,Inf,76.5388333333333,-15.0188333333333,61.521375,1.09241666666667,2.30545833333333,241.431666666667,1.09241666666667,256.554166666667,46.0108333333333,169.368125,107.873875,-38.06125,-18.1795,445,59.4204791666667
2023-05-09 00:00:00,1991.5,13.5383333333333,8.06904166666667,29.3129166666667,1.24466666666667,200.416666666667,1.26291666666667,1.285625,352.043245833333,279.816458333333,144.277333333333,-95.0395833333333,-41.19375,Inf,135.511708333333,-53.8458333333333,81.6675,1.07445833333333,2.244875,236.208333333333,1.07445833333333,245.354166666667,50.575,184.727083333333,103.087083333333,-88.755,-29.27875,436,56.05325
2023-05-10 00:00:00,2015.5,13.5204166666667,4.67125,68.9416666666667,1.30666666666667,216.304166666667,1.317625,1.23020833333333,346.1383125,230.349125,120.513833333333,-53.8204166666667,-24.4882083333333,Inf,109.842541666667,-29.331125,80.5205,1.05204166666667,1.99070833333333,198.723083333333,1.05208333333333,167.957916666667,46.3983333333333,176.557541666667,96.0290416666667,-49.5987727272727,-23.6126818181818,446,54.8672916666667
2023-05-11 00:00:00,2039.5,13.51625,1.286375,93.0208333333333,1.345,213.716666666667,1.34816666666667,1.19958333333333,352.85095,76.3560416666667,48.2807083333333,0.720666666666667,-5.499875,0.407352941176471,28.07475,6.22045833333333,34.29475,0.77125,1.60995833333333,162.517333333333,0.77125,111.7495,44.4420833333333,77.081,42.78325,-0.157,-0.9675,448,53.7413333333333
2023-05-12 00:00:00,2063.5,13.5125,0.536791666666667,94.9833333333333,1.35020833333333,218.770833333333,1.35154166666667,1.19583333333333,372.6650125,109.972875,83.5131666666667,1.12816666666667,-5.15916666666667,421.523894736842,26.465375,6.286875,32.7507916666667,0.565125,1.133625,110.331875,0.565125,29.0975,25.1604166666667,111.103333333333,78.35875,NaN,NaN,450,53.8125
2023-05-13 00:00:00,2087.5,13.625,1.85320833333333,88.54375,1.37629166666667,207.404166666667,1.38095833333333,1.16691666666667,398.300220833333,189.425666666667,102.348416666667,-10.8191666666667,-12.7385,Inf,87.1010833333333,1.92016666666667,89.0295,1.06104166666667,1.833375,79.369125,1.06104166666667,45.5424166666667,37.1908333333333,178.630458333333,89.6038333333333,-34.398,-31.936,431,50.2941083333333
2023-05-14 00:00:00,2111.5,13.57375,3.6105,85.6466666666667,1.42195833333333,223.679166666667,1.431125,1.12065196078431,421.367241666667,189.171583333333,96.9165833333333,-21.8988333333333,-17.9192916666667,-841.655578947368,92.2470833333333,-3.98095833333333,88.27525,0.878625,1.66416666666667,181.160541666667,0.878625,122.162833333333,40.4883333333333,167.266291666667,78.9967083333333,-44.275,-36.07,440,49.3086862745098
2023-05-15 00:00:00,2135.5,13.5345833333333,4.72916666666667,78.1941666666667,1.45620833333333,214.870833333333,1.46875,1.08047303921569,419.110929166667,168.934375,87.80225,-20.4250833333333,-20.610625,Inf,81.1385416666667,0.186875,81.318375,0.74,1.660875,200.39925,0.74,219.246666666667,49.1091666666667,148.494541666667,67.187,-48.6965714285714,-46.7757142857143,443,47.8649556372549
2023-05-16 00:00:00,2159.5,13.56,6.367625,61.5766666666667,1.5045,212.029166666667,1.52175,1.02629166666667,439.552733333333,213.104666666667,112.339291666667,-21.779875,-28.275,Inf,100.733791666667,6.49395833333333,107.226541666667,1.011875,2.15129166666667,212.45125,1.011875,240.8875,53.95,191.285833333333,84.059,-35.8637777777778,-39.7366666666667,453,46.4910125
2023-05-17 00:00:00,2183.5,13.56375,8.232375,47.3304166666667,1.55779166666667,222.583333333333,1.581,0.967,441.726016666667,260.293583333333,131.54575,-71.781375,-38.00875,Inf,128.729083333333,-33.7690416666667,94.95525,0.96075,1.8815,231.90275,0.96075,261.083333333333,41.0141666666667,188.49775,93.535625,-63.4935625,-25.54125,449,43.4183
2023-05-18 00:00:00,2207.5,13.47375,5.00491666666667,73.705,1.622,224.366666666667,1.63658333333333,0.910595238095238,408.232529166667,171.836625,84.7377916666667,-23.66125,-22.6385,NaN,87.1097083333333,-1.02354166666667,86.0826666666667,0.65225,1.53920833333333,217.23475,0.65225,199.27,46.1929166666667,148.180958333333,62.0954583333333,-31.8869285714286,-33.9326428571429,448,40.7946666666667
2023-05-19 00:00:00,2231.5,13.60625,3.37491666666667,84.5829166666667,1.667125,288.258333333333,1.67741666666667,0.853529761904762,414.820295833333,173.85,85.3802083333333,-16.7119166666667,-17.652375,-Inf,88.4730416666666,0.939958333333334,89.4082916666667,0.583791666666667,1.271375,100.198666666667,0.583791666666667,91.48125,41.4766666666667,157.140791666667,67.7309583333333,-32.3908,-30.501,449,38.3234863095238
